player_id,name,club_info.squad_number,birth_year,position,secondary_position,left_foot,right_foot,ability.pace,ability.strength,ability.jump,ability.agility,ability.dribble,ability.pass,ability.shot,ability.tackle,ability.position,ability.goalkeep,club_info.contract,club_info.wage
52,Fabinho,3,1993,DEFENSIVE_MIDFIELDER,RIGHT_BACK,,3,12,14,16,15,14,15,12,17,16,,5,6000000
53,V. van Dijk,4,1991,CENTRE_BACK,,,3,9,19,19,9,9,10,10,19,18,,4,12000000
54,I. Konate,5,1999,CENTRE_BACK,,,3,10,15,18,9,8,9,8,16,15,,5,1000000
55,Thiago,6,1991,CENTRAL_MIDFIEDLER,ATTACKING_MIDFIELDER,2,3,13,11,12,16,17,18,14,8,12,,3,8000000
56,J. Milner,7,1986,CENTRAL_MIDFIEDLER,RIGHT_MIDFIELDER,1,3,10,13,12,14,15,16,16,17,17,,1,6000000
57,N. Keita,8,1995,CENTRAL_MIDFIEDLER,ATTACKING_MIDFIELDER,,3,15,11,13,16,14,15,14,14,15,,2,4000000
58,R. Firmino,9,1991,CENTRE_FORWARD,SECOND_STRIKER,1,3,16,16,16,15,14,16,18,10,10,,2,10000000
59,S. Mane,10,1992,LEFT_WINGER,RIGHT_WINGER,,3,18,12,12,16,16,15,17,8,10,,2,9000000
60,M. Salah,11,1992,RIGHT_WINGER,CENTRE_FORWARD,3,2,17,15,14,18,17,14,19,8,9,,2,10000000
61,J. Gomez,12,1997,CENTRE_BACK,,,3,11,14,18,11,8,10,7,17,15,,3,4000000
62,Adrian,13,1987,GOAL_KEEPER,,,3,9,14,17,16,,11,,16,,17,1,1500000
63,J. Henderson,14,1990,CENTRAL_MIDFIEDLER,RIGHT_MIDFIELDER,,3,11,17,17,12,12,16,10,15,17,,4,8000000
64,A. Oxlade-Chamberlain,15,1993,CENTRAL_MIDFIEDLER,RIGHT_MIDFIELDER,1,3,17,11,12,16,14,15,11,13,15,,2,7500000
65,C. Jones,17,2001,CENTRAL_MIDFIEDLER,LEFT_MIDFIELDER,,3,14,12,15,13,14,15,15,8,9,,4,1000000
66,T. Minamino,18,1995,LEFT_WINGER,RIGHT_WINGER,1,3,16,10,11,16,16,15,16,9,9,,3,5000000
67,D. Jota,20,1996,LEFT_WINGER,CENTRE_FORWARD,1,3,16,12,13,15,16,14,16,8,8,,4,7000000
68,K. Tsimikas,21,1996,LEFT_BACK,,3,,16,13,13,14,15,13,10,15,16,,4,4000000
69,A. Robertson,26,1994,LEFT_BACK,LEFT_MIDFIELDER,3,,18,10,13,16,14,16,11,16,17,,5,9000000
70,D. Origi,27,1995,CENTRE_FORWARD,LEFT_WINGER,,3,16,14,16,15,15,14,15,9,9,,1,5000000
71,J. Matip,32,1991,CENTRE_BACK,DEFENSIVE_MIDFIELDER,,3,10,18,19,9,9,9,10,17,15,,3,6000000
72,N. Phillips,47,1997,CENTRE_BACK,,,3,9,14,17,11,8,9,9,16,14,,4,3000000
73,T. Alexander-Arnold,66,1998,RIGHT_BACK,,,3,18,10,13,16,14,16,12,15,15,,4,7000000
74,H. Elliott,67,2003,RIGHT_WINGER,LEFT_WINGER,3,,16,8,9,16,15,14,16,8,8,,5,1000000
75,N. Williams,76,2001,RIGHT_BACK,,,3,15,12,14,15,11,13,9,15,15,,4,1500000
76,K. Arrizabalaga,1,1994,GOAL_KEEPER,,,3,14,16,17,15,,11,,16,,17,4,8000000
77,A. Rudiger,2,1993,CENTRE_BACK,RIGHT_BACK,,3,11,16,18,10,9,11,10,17,18,,1,7500000
78,M. Alonso,3,1990,LEFT_MIDFIELDER,LEFT_BACK,3,,11,16,17,12,13,15,16,13,14,,2,5000000
79,A. Christensen,4,1996,CENTRE_BACK,,,3,12,15,17,12,9,10,10,17,18,,1,6000000
80,Jorginho,5,1991,DEFENSIVE_MIDFIELDER,CENTRAL_MIDFIEDLER,1,3,15,11,15,17,16,16,14,15,16,,2,6000000
81,T. Silva,6,1984,CENTRE_BACK,,,3,10,15,15,10,13,12,13,19,19,,1,9000000
82,N. Kante,7,1991,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,,3,16,18,9,17,13,14,11,20,17,,2,8000000
83,M. Kovacic,8,1994,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,,3,17,12,15,16,15,15,15,16,16,,3,6000000
84,R. Lukaku,9,1993,CENTRE_FORWARD,,3,,10,20,18,9,11,14,18,10,8,,5,15000000
85,C. Pulisic,10,1998,LEFT_WINGER,ATTACKING_MIDFIELDER,,3,17,9,13,17,13,15,15,9,10,,3,5000000
86,T. Werner,11,1996,CENTRE_FORWARD,LEFT_WINGER,,3,17,13,14,15,13,14,15,9,11,,4,9000000
87,R. Loftus-Cheek,12,1996,CENTRE_FORWARD,ATTACKING_MIDFIELDER,,3,12,17,17,11,14,15,12,15,14,,3,5000000
88,M. Bettinelli,13,1992,GOAL_KEEPER,,,3,9,15,18,15,,10,,15,,16,2,1000000
89,T. Chalobah,14,1999,CENTRE_BACK,DEFENSIVE_MIDFIELDER,,3,11,16,17,12,9,13,10,17,15,,2,3000000
90,E. Mendy,16,1992,GOAL_KEEPER,,,3,9,17,18,14,,10,,17,,17,4,4000000
91,Saul,17,1994,CENTRAL_MIDFIEDLER,RIGHT_MIDFIELDER,3,1,15,14,15,16,17,17,15,14,15,,1,8000000
92,R. Barkley,18,1993,CENTRAL_MIDFIEDLER,ATTACKING_MIDFIELDER,1,3,15,16,15,12,14,15,14,13,12,,2,4000000
93,M. Mount,19,1999,ATTACKING_MIDFIELDER,CENTRAL_MIDFIEDLER,1,3,16,8,13,17,15,15,15,10,9,,3,3000000
94,C. Hudson-Odoi,20,2000,LEFT_WINGER,ATTACKING_MIDFIELDER,1,3,16,10,12,16,14,14,15,9,8,,3,2000000
95,b. Chilwell,21,1996,LEFT_BACK,LEFT_MIDFIELDER,3,1,17,14,14,16,13,14,10,15,16,,4,5000000
96,H. Ziyech,22,1993,ATTACKING_MIDFIELDER,RIGHT_WINGER,3,1,15,12,14,17,16,15,17,10,9,,4,6000000
97,R. James,24,1999,RIGHT_BACK,CENTRE_BACK,,3,15,16,15,11,14,14,10,16,16,,4,3000000
98,C. Azpilicueta,28,1989,RIGHT_BACK,LEFT_BACK,,3,15,15,14,11,15,16,12,15,17,,1,9000000
99,K. Havertz,29,1999,ATTACKING_MIDFIELDER,RIGHT_WINGER,3,2,15,12,17,17,16,17,17,9,11,,4,8000000
100,M. Sarr,31,1999,LEFT_BACK,CENTRE_BACK,3,,16,12,16,16,12,9,8,16,16,,4,4000000
151,H. Lloris,1,1986,GOAL_KEEPER,,3,,9,14,16,16,,10,,15,,18,1,6000000
152,M. Doherty,2,1992,RIGHT_BACK,RIGHT_MIDFIELDER,,3,15,15,16,14,14,13,10,16,17,,3,3000000
153,S. Reguilon,3,1996,LEFT_BACK,LEFT_MIDFIELDER,3,,17,12,13,16,16,17,10,15,16,,4,5000000
154,C. Romero,4,1998,CENTRE_BACK,,,3,14,16,17,15,11,13,10,16,16,,5,5000000
155,P. Hojbjerg,5,1995,DEFENSIVE_MIDFIELDER,CENTRAL_MIDFIEDLER,,3,14,16,16,13,13,16,11,15,16,,4,6000000
156,D. Sanchez,6,1996,CENTRE_BACK,,,3,12,15,17,14,10,13,10,16,16,,3,3000000
157,S. Heung-min,7,1992,LEFT_WINGER,CENTRE_FORWARD,3,3,18,12,14,18,17,14,17,8,8,,4,10000000
158,H. Winks,8,1996,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,,3,15,13,15,16,14,16,11,15,16,,3,3000000
159,H. Kane,10,1993,CENTRE_FORWARD,SECOND_STRIKER,,3,14,17,17,14,15,17,18,9,9,,3,12000000
160,B. Gil,11,2001,RIGHT_WINGER,LEFT_WINGER,3,1,17,7,12,17,13,13,14,8,8,,5,4000000
161,E. Royal,12,1999,RIGHT_BACK,,,3,16,12,15,16,13,14,10,15,14,,5,4000000
162,J. Rodon,14,1997,CENTRE_BACK,RIGHT_BACK,,3,11,12,18,14,9,9,8,16,14,,4,3000000
163,E. Dier,15,1994,CENTRE_BACK,DEFENSIVE_MIDFIELDER,,3,11,16,17,11,10,12,10,16,16,,3,5000000
164,G. Lo Celso,18,1996,CENTRAL_MIDFIEDLER,ATTACKING_MIDFIELDER,3,1,15,13,14,16,16,16,14,10,10,,4,5000000
165,R. Sessegnon,19,2000,LEFT_MIDFIELDER,LEFT_WINGER,3,,17,11,14,16,13,14,14,11,10,,4,4000000
166,D. Alli,20,1996,ATTACKING_MIDFIELDER,CENTRAL_MIDFIEDLER,,3,16,16,16,14,16,17,17,10,11,,3,6000000
167,P. Gollini,22,1995,GOAL_KEEPER,,,3,9,17,18,15,,10,,17,,16,1,2000000
168,S. Bergwijn,23,1997,LEFT_WINGER,RIGHT_WINGER,,3,17,11,14,16,15,16,16,8,9,,4,4000000
169,J. Tanganga,25,1999,CENTRE_BACK,,,3,15,12,16,16,9,11,10,16,14,,4,2000000
170,L. Moura,27,1992,RIGHT_WINGER,LEFT_WINGER,1,3,16,10,12,15,16,16,17,9,8,,3,5000000
171,T. Ndombele,28,1996,CENTRAL_MIDFIEDLER,ATTACKING_MIDFIELDER,,3,17,15,14,16,15,15,12,17,16,,4,6000000
172,O. Skipp,29,2000,DEFENSIVE_MIDFIELDER,,,3,16,15,13,15,12,13,9,15,15,,3,2000000
173,B. Davies,33,1993,LEFT_BACK,LEFT_MIDFIELDER,3,,16,12,14,15,15,15,10,15,15,,3,6000000
174,J. Clarke,47,2000,LEFT_WINGER,RIGHT_WINGER,,3,17,12,13,16,13,13,14,8,8,,2,1500000
175,A. Whiteman,41,1998,GOAL_KEEPER,,,3,12,14,17,16,,9,,14,,15,3,1000000
176,B. Leno,1,1992,GOAL_KEEPER,,,3,9,14,17,16,,10,,15,,17,2,5000000
177,K. Tierney,3,1997,LEFT_BACK,CENTRE_BACK,3,,17,12,13,16,15,14,11,16,16,,5,5000000
178,B. White,4,1997,CENTRE_BACK,,,3,12,16,17,12,9,11,10,17,15,,5,6000000
179,Thomas,5,1993,DEFENSIVE_MIDFIELDER,CENTRAL_MIDFIEDLER,,3,15,15,16,16,14,15,12,17,16,,4,8000000
180,Gabriel,6,1997,CENTRE_BACK,,3,,12,14,17,13,13,13,12,16,17,,4,4000000
181,B. Saka,7,2001,LEFT_WINGER,LEFT_MIDFIELDER,3,1,17,11,13,16,15,15,14,13,13,,3,3000000
182,M. Odegaard,8,1998,ATTACKING_MIDFIELDER,RIGHT_WINGER,3,1,16,11,14,17,16,17,16,9,9,,4,9000000
183,A. Lacazette,9,1991,CENTRE_FORWARD,,,3,15,14,14,15,14,14,17,10,9,,1,10000000
184,E. Smith Rowe,10,2000,ATTACKING_MIDFIELDER,CENTRAL_MIDFIEDLER,,3,15,12,15,15,15,16,14,8,9,,5,2000000
185,P. Aubameyang,14,1989,CENTRE_FORWARD,LEFT_WINGER,,3,13,16,17,12,15,14,18,9,10,,2,12000000
186,A. Maitland-Niles,15,1997,RIGHT_MIDFIELDER,DEFENSIVE_MIDFIELDER,,3,15,12,15,17,14,15,12,14,16,,2,3000000
187,R. Holding,16,1995,CENTRE_BACK,LEFT_BACK,1,3,13,13,17,15,10,12,9,16,14,,3,4000000
188,C. Soares,17,1991,RIGHT_BACK,RIGHT_MIDFIELDER,,3,15,13,11,16,13,13,9,15,16,,3,3000000
189,T. Tomiyasu,18,1998,RIGHT_BACK,CENTRE_BACK,1,3,11,13,16,13,14,13,10,15,16,,4,3000000
190,N. Pepe,19,1995,RIGHT_WINGER,CENTRE_FORWARD,3,1,17,12,15,16,15,13,16,8,8,,3,6000000
191,N. Tavares,20,2000,LEFT_BACK,RIGHT_BACK,3,2,16,11,15,15,13,14,10,15,16,,4,2500000
192,C. Chambers,21,1995,DEFENSIVE_MIDFIELDER,RIGHT_BACK,,3,16,10,15,17,12,14,10,16,15,,1,3000000
193,P. Mari,22,1993,CENTRE_BACK,,3,,10,16,17,10,10,11,11,17,14,,3,4000000
194,A. Lokonga,23,1999,CENTRAL_MIDFIEDLER,RIGHT_MIDFIELDER,,3,15,14,14,15,14,15,10,14,15,,5,3000000
195,M. Elneny,25,1992,DEFENSIVE_MIDFIELDER,CENTRAL_MIDFIEDLER,,3,14,14,14,16,14,15,13,15,15,,1,4000000
196,G. Martinelli,35,2001,CENTRE_FORWARD,LEFT_WINGER,,3,16,10,12,17,14,15,15,8,8,,3,2000000
197,E. Nketiah,30,1999,CENTRE_FORWARD,ATTACKING_MIDFIELDER,,3,16,10,13,17,14,11,15,8,8,,1,2000000
198,S. Kolasinac,31,1993,LEFT_BACK,CENTRE_BACK,3,,15,16,16,13,14,13,10,15,16,,1,3000000
199,A. Ramsdale,32,1998,GOAL_KEEPER,,,3,11,13,17,18,,9,,15,,16,4,8000000
200,G. Xhaka,34,1992,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,3,1,15,15,15,14,15,14,14,15,16,,3,6000000
901,S. Handanovic,1,1984,GOAL_KEEPER,,,3,8,15,17,15,,10,,16,,18,1,5000000
902,D. Dumfries,2,1996,RIGHT_BACK,,,3,16,15,17,13,15,15,14,15,17,,4,5000000
903,R. Gagliardini,5,1994,CENTRAL_MIDFIEDLER,RIGHT_MIDFIELDER,,3,14,14,17,15,14,13,14,15,15,,2,4000000
904,S. de Vrij,6,1992,CENTRE_BACK,,,3,12,16,17,14,9,13,11,16,14,,2,5000000
905,A. Sanchez,7,1988,RIGHT_WINGER,LEFT_WINGER,,3,13,12,9,13,17,16,18,11,9,,2,8000000
906,M. Vecino,8,1991,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,,3,10,15,16,10,14,14,13,16,16,,1,5000000
907,E. Dzeko,9,1986,CENTRE_FORWARD,,,3,8,14,17,9,11,14,18,9,9,,2,6000000
908,L. Martinez,10,1997,CENTRE_FORWARD,SECOND_STRIKER,1,3,15,16,13,17,14,13,17,9,8,,2,5000000
909,A. Kolarov,11,1985,LEFT_BACK,LEFT_MIDFIELDER,3,2,10,14,17,11,13,16,14,16,16,,1,4000000
910,S. Sensi,12,1995,CENTRAL_MIDFIEDLER,ATTACKING_MIDFIELDER,,3,16,10,9,17,15,14,14,14,16,,3,4000000
911,A. Ranocchia,13,1988,CENTRE_BACK,,,3,9,13,17,10,9,10,11,16,14,,1,6000000
912,I. Perisic,14,1989,LEFT_WINGER,RIGHT_WINGER,3,3,15,14,15,14,16,16,16,8,9,,1,6000000
913,J. Correa,19,1994,SECOND_STRIKER,LEFT_WINGER,,3,15,14,17,16,15,15,15,9,8,,1,5000000
914,H. Calhanoglu,20,1994,ATTACKING_MIDFIELDER,LEFT_WINGER,,3,16,14,14,16,15,16,17,10,10,,3,8000000
915,A. Cordaz,21,1983,GOAL_KEEPER,,,3,8,13,16,12,,10,,15,,16,1,1000000
916,A. Vidal,22,1987,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,,3,10,15,14,14,14,15,15,17,13,,1,5000000
917,N. Barella,23,1997,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,,3,15,11,12,17,14,16,15,13,16,,3,5000000
918,C. Eriksen,24,1992,ATTACKING_MIDFIELDER,LEFT_MIDFIELDER,3,3,12,13,14,12,14,17,16,12,12,,3,6000000
919,F. Dimarco,32,1997,LEFT_BACK,LEFT_MIDFIELDER,3,,16,12,14,16,13,14,11,14,15,,2,4000000
920,D. D'Ambrosio,33,1988,RIGHT_BACK,CENTRE_BACK,1,3,11,15,15,13,14,13,11,16,15,,1,5000000
921,M. Darmian,36,1989,RIGHT_MIDFIELDER,LEFT_BACK,2,3,11,13,15,16,14,13,12,14,16,,3,4000000
922,M. Skriniar,37,1995,CENTRE_BACK,,,3,11,15,18,14,9,11,9,17,15,,2,7500000
923,M. Satriano,48,2001,CENTRE_FORWARD,,,3,14,13,16,15,12,13,14,8,8,,3,1000000
924,M. Brozovic,77,1992,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,3,3,15,12,16,17,13,16,15,15,16,,1,6000000
925,A. Bastoni,95,1999,CENTRE_BACK,,3,,11,14,18,13,9,10,9,16,14,,3,4000000
926,C. Tatarusanu,1,1986,GOAL_KEEPER,,,3,7,16,18,14,,9,,13,,15,2,1000000
927,D. Calabria,2,1996,RIGHT_BACK,DEFENSIVE_MIDFIELDER,,3,16,12,13,16,15,15,11,16,15,,4,3000000
928,I. Bennacer,4,1997,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,3,,15,12,13,17,15,16,13,15,15,,3,4000000
929,F. Ballo-Toure,5,1997,LEFT_BACK,,3,,16,9,15,17,15,16,10,15,15,,4,5000000
930,S. Castillejo,7,1995,LEFT_WINGER,RIGHT_WINGER,3,2,16,10,15,17,15,16,14,9,9,,2,4000000
931,S. Tonali,8,2000,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,,3,15,14,15,13,13,14,12,15,14,,5,4000000
932,O. Giroud,9,1986,CENTRE_FORWARD,,3,2,8,16,17,12,16,14,17,10,10,,2,8000000
933,B. Diaz,10,1999,ATTACKING_MIDFIELDER,CENTRE_FORWARD,3,3,17,11,11,17,16,15,15,8,8,,2,6000000
934,Z. Ibrahimovic,11,1981,CENTRE_FORWARD,SECOND_STRIKER,3,3,7,14,16,10,17,17,20,9,9,,1,10000000
935,A. Rebic,12,1993,LEFT_WINGER,CENTRE_FORWARD,1,3,17,15,15,16,16,15,16,9,8,,4,6000000
936,A. Romagnoli,13,1995,CENTRE_BACK,,3,,14,14,17,16,10,10,10,16,15,,1,5000000
937,A. Conti,14,1994,RIGHT_BACK,RIGHT_MIDFIELDER,,3,16,13,15,16,14,15,11,14,15,,1,4000000
938,M. Maignan,16,1995,GOAL_KEEPER,,,3,12,14,17,17,,9,,14,,16,5,4000000
939,R. Leao,17,1999,CENTRE_FORWARD,LEFT_WINGER,1,3,15,13,16,13,14,14,15,8,8,,3,4000000
940,T. Hernandez,19,1997,LEFT_BACK,LEFT_MIDFIELDER,3,,17,12,15,16,15,16,16,15,14,,3,6000000
941,P. Kalulu,20,2000,CENTRE_BACK,,,3,14,11,14,16,10,11,9,16,15,,4,1000000
942,F. Tomori,23,1997,CENTRE_BACK,RIGHT_BACK,,3,15,13,16,15,11,10,10,16,15,,4,5000000
943,S. Kjær,24,1989,CENTRE_BACK,,,3,9,15,18,11,10,11,10,16,16,,1,5000000
944,A. Florenzi,25,1991,CENTRAL_MIDFIEDLER,RIGHT_BACK,,3,16,13,12,17,16,15,15,14,15,,1,5000000
945,J. Messias,30,1991,RIGHT_WINGER,SECOND_STRIKER,3,,16,13,13,16,16,13,14,10,10,,1,3000000
946,A. Plizzari,77,2000,GOAL_KEEPER,,,3,12,11,16,17,,9,,12,,14,2,900000
947,T. Bakayoko,41,1994,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,,3,15,15,17,16,15,13,13,15,15,,2,4000000
948,M. Gabbia,46,1999,CENTRE_BACK,,,3,15,13,15,16,9,9,9,15,13,,3,1000000
949,A. Saelemaekers,56,1999,RIGHT_WINGER,LEFT_WINGER,,,16,12,14,17,15,15,13,8,8,,3,3000000
950,F. Kessie,79,1996,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,,3,16,14,15,16,15,15,15,14,16,,1,5000000
976,W. Szczesny,1,1990,GOAL_KEEPER,,,3,9,14,18,16,,9,,14,,17,3,4000000
977,M. De Sciglio,2,1992,RIGHT_BACK,RIGHT_MIDFIELDER,,3,16,14,15,17,15,11,9,15,16,,1,5000000
978,G. Chiellini,3,1984,CENTRE_BACK,LEFT_BACK,3,,7,15,17,9,11,13,10,17,18,,2,7500000
979,M. de Ligt,4,1999,CENTRE_BACK,DEFENSIVE_MIDFIELDER,,3,12,14,17,12,10,10,11,17,15,,3,8000000
980,Arthur,5,1996,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,,3,14,12,10,15,16,15,12,12,15,,4,6000000
981,Danilo,6,1991,RIGHT_BACK,LEFT_BACK,1,3,16,15,15,16,14,15,15,14,15,,3,5000000
982,A. Ramsey,8,1990,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,3,3,14,14,15,16,15,16,16,13,15,,2,7500000
983,A. Morata,9,1992,CENTRE_FORWARD,RIGHT_WINGER,,3,14,16,17,13,15,14,16,10,9,,1,7000000
984,P. Dybala,10,1993,CENTRE_FORWARD,SECOND_STRIKER,3,1,16,13,13,18,16,15,17,9,9,,1,7000000
985,J. Cuadrado,11,1988,RIGHT_WINGER,RIGHT_BACK,,3,16,13,12,16,16,16,15,12,15,,1,6000000
986,A. Sandro,12,1991,LEFT_BACK,LEFT_MIDFIELDER,3,,16,11,15,17,15,16,13,13,14,,2,6000000
987,W. McKennie,14,1998,CENTRAL_MIDFIEDLER,RIGHT_MIDFIELDER,,3,16,15,14,13,14,15,15,14,15,,4,3000000
988,L. Pellegrini,17,1999,LEFT_BACK,LEFT_WINGER,3,,17,11,14,16,15,15,10,13,14,,4,2000000
